"id","label","pass","detail","scope","result_id"
"PROP-03-2","same fixed-lambda weighted score gives theta-free likelihood ratio",TRUE,"ratio range 14.8797317249--14.8797317249","identity-or-invariance","PROP-03-2"
"PROP-04-2","common Rasch location shift preserves all response probabilities",TRUE,"","identity-or-invariance","PROP-04-2"
"PROP-04-3","2PL joint scale transformation preserves logits; Rasch scaling does not",TRUE,"","identity-or-invariance","PROP-04-3"
"PROP-04-3b","positive-affine 2PL normalization preserves logits and centers both item blocks",TRUE,"a = 0.993288; mean beta* = 0.00e+00; GM lambda* = 1.000000000000","identity-or-invariance","PROP-04-3"
"THM-04-4F","anchor and two centering rules select invariant fixed-effect representatives",TRUE,"","identity-or-invariance","THM-04-4F"
"THM-04-5R","shifting item locations and the mixing law preserves a marginal pattern probability",TRUE,"","identity-or-invariance","THM-04-5R"
"PROP-06-2","implicit item-parameter sensitivity matches finite differences",TRUE,"max derivative error 9.93e-12","identity-or-invariance","PROP-06-2"
"PROP-07-1","RMSEM >= mean se, strict when se varies",TRUE,"RMSEM 0.535841 vs mean se 0.532497","identity-or-invariance","PROP-07-1"
"PROP-07-1b","equality holds when se is constant",TRUE,"constant se^2 = 0.36","identity-or-invariance","PROP-07-1"
"PROP-08-1","mean w_p >= w-bar, strict when se^2 varies",TRUE,"mean w_p 0.779162 vs w-bar 0.776925","identity-or-invariance","PROP-08-1"
"PROP-08-1b","equality holds when se^2 is constant",TRUE,"constant se^2 = 0.4","identity-or-invariance","PROP-08-1"
"PROP-08-2","w-bar = S^2/(1+S^2) with S = sigma/RMSEM",TRUE,"S 1.866225, H 2.821633","identity-or-invariance","PROP-08-2"
"C-001","printed S column reproduces from ROUNDED RMSEM only",TRUE,"exact 1/1.2/1.5/2/3 ; from rounded 1/1.3/1.4/2/3.3","artifact-arithmetic",NA
"C-001b","printed H column reproduces from EXACT S",TRUE,"H is exact while S beside it is not","artifact-arithmetic",NA
"THM-08-3","w-bar <= rho_Theta <= rho-tilde in all 12 cells",TRUE,"largest outer gap 0.0186","identity-or-invariance","THM-08-3"
"THM-08-3b","equality when information is constant",TRUE,"all three coincide","identity-or-invariance","THM-08-3"
"ch8-gap-size","every outer gap in the reported grid is below 0.03",TRUE,"max 0.0186","example-grid",NA
"EQ-TWO-FORMS","v/(v+m) - (1 - m/v) = m^2/(v(v+m)) > 0",TRUE,"0.041101","artifact-arithmetic",NA
"PROP-09-1","c* under MSEM >= c* under average-information",TRUE,"at 0.75: 0.9160 vs 0.8859","identity-or-invariance","PROP-09-1"
"PROP-09-1b","scaled 2PL information is not obtained by freezing probabilities",TRUE,"max absolute difference 4.8660","identity-or-invariance","PROP-09-1"
"PROP-10-2","Var = s2(1-1/I), Cov = -s2/I, Cor = -1/(I-1), rank I-1",TRUE,"Var 2.7500 (not 3.0)","identity-or-invariance","PROP-10-2"
"PROP-10-2b","the induced draws sum to zero",TRUE,"","identity-or-invariance","PROP-10-2"
"eq-hyperpriors","Inv-Gamma(2.01,1.01) has mean 1 and variance 100",TRUE,"mean 1.000000 variance 100.0000","identity-or-invariance",NA
"THM-11-1","closed-form posterior mean matches numerical integration",TRUE,"0.90526316 vs 0.90526316","identity-or-invariance","THM-11-1"
"THM-11-1b","posterior variance = w se^2 = (1-w) sigma^2",TRUE,"0.36842105","identity-or-invariance","THM-11-1"
"PROP-11-3","Var(ML) = sigma^2 + MSEM",TRUE,"1.60529 vs 1.60000","identity-or-invariance","PROP-11-3"
"PROP-11-3b","Var(EAP) = w-bar sigma^2 exactly",TRUE,"0.62707 vs 0.62500","identity-or-invariance","PROP-11-3"
"PROP-11-3c","SD(EAP)/sigma = sqrt(w-bar)",TRUE,"0.79187 vs 0.79057","identity-or-invariance","PROP-11-3"
"PROP-11-3d","weight sqrt(w) restores the ensemble variance (Louis)",TRUE,"1.00331 vs 1.00000","identity-or-invariance","PROP-11-3"
"PROP-11-3e","exact posterior total-variance identity under a skewed G",TRUE,"prior variance 1.50000000","identity-or-invariance","PROP-11-3"
"THM-15-2","stick-breaking mean weights are geometric: E[p_n] = a^(n-1)/(1+a)^n",TRUE,"alpha = 2.5, first 12 weights","identity-or-invariance","THM-15-2"
"THM-15-2b","simulated first two moments agree with the sourced Beta marginal",TRUE,"moment corroboration only; the distributional theorem remains source-only","identity-or-invariance","THM-15-2"
"APP-A-1-1","E[log(1-V)] = -1/alpha for V ~ Beta(1,alpha)",TRUE,"sign and exact integral used in Appendix A A.1.1","identity-or-invariance","THM-15-2"
"THM-15-2c","the weights sum to one: truncation error decays geometrically",TRUE,"tail mass beyond 2000 sticks","identity-or-invariance","THM-15-2"
"THM-15-4","Antoniak pmf sums to 1 and its mean is the digamma form",TRUE,"alpha=1, J=200: E[K] = 5.8780","identity-or-invariance","THM-15-4"
"THM-15-4b","K_J grows like alpha log J: tenfold J adds ~2.3 alpha",TRUE,"increment 2.3025 vs log 10 = 2.3026","identity-or-invariance","THM-15-4"
"THM-15-4c","alpha = 0.80 is what matching E[K_200] = 5 requires",TRUE,"ch15 sec. 8","identity-or-invariance","THM-15-4"
"PROP-13-1a","normal G, 5 easy items: score skew -0.99, 38% at ceiling",TRUE,"skew -0.987, P(max) 0.383","example-grid","PROP-13-1"
"PROP-13-1b","bimodal G, 6 spread items: unimodal score pmf, TV = 0.035",TRUE,"maxima 1, TV 0.0351","example-grid","PROP-13-1"
"PROP-13-1c","TV grows with test length: .035 / .066 / .172 / .305",TRUE,"monotone in I","example-grid","PROP-13-1"
"PROP-12-3x","common-item Rasch: EAP is monotone in the total score for every G",TRUE,"normal TRUE; bimodal TRUE; skew TRUE","identity-or-invariance","PROP-12-3"
"PROP-12-3y","across two test forms the ML and EAP orderings do disagree",TRUE,"10 disagreeing cross-form pairs","identity-or-invariance","PROP-12-3"
"PROP-17-1","E[WSEL] = sum (a - eta)^2 + sum v, minimized at the means",TRUE,"MC 2.26331 vs algebra 2.26250","identity-or-invariance","PROP-17-1"
"THM-17-3","Theorem 1 action uses Gbar midpoint quantiles and differs from WSEL means",TRUE,"U = (-0.606198, 0.644077); spread 1.250275","identity-or-invariance","THM-17-3"
"THM-17-3b","midpoint-quantile action beats order-statistic means under ISEL",TRUE,"ISEL quantile 0.0594863; order-stat 0.0596206; WSEL means 0.0599846","identity-or-invariance","THM-17-3"
"THM-18-1","Ghosh's a = sqrt(1 + H1/H2) equals the per-unit (1-1/P) form",TRUE,"a = 1.188261","identity-or-invariance","THM-18-1"
"THM-18-1b","R sample-variance form equals the exact finite-P independent specialization",TRUE,"P = 40; package factor = Ghosh factor = 1.18826144","identity-or-invariance","THM-18-1"
"THM-18-1c","the CB ensemble variance matches V_eta + (1-1/P) v-bar",TRUE,"1.760787","identity-or-invariance","THM-18-1"
"THM-18-1d","Ghosh H1 equals marginal-variance term minus cross-person covariance term",TRUE,"trace 40.39344822; expansion 40.39344822","identity-or-invariance","THM-18-1"
"PROP-18-2","CB preserves ranks and standardized moments of orders 3 through 6",TRUE,"affine invariance, orders 3 through 6","identity-or-invariance","PROP-18-2"
"PROP-19-2","the GR ensemble is exactly the mass points of G-hat, permuted",TRUE,"EDF carried; expected-rank sum invariant; tied block refinements are loss-equivalent","identity-or-invariance","PROP-19-2"
"PROP-19-3","general GR regret and eq. (14) simplification use their stated permutations",TRUE,"regret_GR = 0.0113 vs CB's 0.0261; rank agreement = FALSE","identity-or-invariance","PROP-19-3"
"PROP-19-3b","CB attains the target ensemble variance and GR does not",TRUE,"target 1.596; CB 1.596; GR 1.440","identity-or-invariance","PROP-19-3"
"eq-gbar","Gbar(t) is a probability in [0,1] and is nondecreasing",TRUE,"Gbar(0) = 0.4759","identity-or-invariance",NA
"PROP-20-1","matched-grid reliability effect exceeds the maximum shape gap fourfold",TRUE,"effect 0.17891 over wbar 0.51--0.96; max matched gap 0.03942; ratio 4.54","identity-or-invariance","PROP-20-1"
"PROP-20-1b","matched shape gap has an interior peak and declines on the displayed tail",TRUE,"peak 0.03942 at 0.915; tail 0.03674; fine/coarse concordance max diff 0.000552","identity-or-invariance","PROP-20-1"
"PROP-20-1c","bimodal G has the most near-ties under full-support unit-variance quadrature",TRUE,"near-tie mechanism; logistic heavy-tail replaces the invalid truncated t3 working curve","identity-or-invariance","PROP-20-1"
"PROP-26-1","distinct finite-support G laws have identical known-2PL pattern integrals",TRUE,"I=2: 4 probabilities (3 independent at most); support TV 0.241799; max pattern gap 5.55e-17","identity-or-invariance","PROP-26-1"
"F-stein","risk = 2 at the origin for every p; -> p as ||xi||^2 grows",TRUE,"p=200 at ||xi||^2/p = 1 : 0.5062 of p","example-grid",NA
"APP-A-2-1","pattern law = exp(-sum u_i beta_i) * mu_{r}: I+1 functionals suffice",TRUE,"","identity-or-invariance","PROP-16-4"
"APP-A-2-1b","displayed evaluations satisfy the probability-normalization identity",TRUE,"distinct values in one example are not a dimension proof","identity-or-invariance","PROP-16-4"
"APP-A-2-2","finite positive base variance yields Var(realized DP mean)=v0/(1+alpha)",TRUE,"a centered point-mass base is excluded by the stated positive-variance assumption","identity-or-invariance","PROP-16-3"
"APP-A-3-2","E[1/J(theta)] >= 1/E[J(theta)], strict when information varies",TRUE,"","identity-or-invariance","PROP-09-1"
