"file","anchor","origin","start_line","end_line","host_line","source_class","detector","excerpt","required_classes","registered_classes","registered_ids","covered"
"book/appendices/B-crosswalk.qmd","sec-appb-lambda","book/appendices/B-crosswalk.qmd",100,103,,"simulation","text:simulation_book","**Resolved (`DECISIONS` a6): $\lambda_i$ keeps the simulation book's meaning and the posterior variance becomes $v_p$.** This is the only place where this book departs from a source's notation rather than merely differing from it, and it is","simulation","simulation","CB-071",TRUE
"book/appendices/C-corrections.qmd","sec-appc-not-here","book/appendices/C-corrections.qmd",89,91,,"simulation","text:companion_simulation","**Results.** No entry concerns whether a simulated condition came out one way or another. That boundary is the companion simulation study's, and this book does not cross it; the front matter sets out which document is authority for what.","simulation","simulation","CB-014",TRUE
"book/appendices/F-software.qmd","sec-appendix-f","book/appendices/F-software.qmd",3,7,,"case_study","text:dpmirt_repository","This appendix orients rather than instructs. The Associate Editor's third demand asked for a worked code example, and decision `OQ-1` placed it in the companion repository `DPMirt-case-study/`, not here. What follows says what each piece of","case_study","case_study","CB-033",TRUE
"book/appendices/F-software.qmd","sec-appf-project","book/appendices/F-software.qmd",39,46,,"case_study","text:case_study_volume","**`DPprior`** (version 1.1.0) is a separate package, not vendored, that performs the $\alpha$-elicitation of @sec-ch15 — choosing a Gamma hyperprior for the concentration parameter from a belief about the number of clusters, with the dual-a","case_study","case_study","CB-072",TRUE
"book/appendices/F-software.qmd","sec-appf-example","book/appendices/F-software.qmd",97,115,,"case_study","citation:lee_casestudy_2026;text:dpmirt_repository|case_study_volume","Decision `OQ-1` assigned the Associate Editor's code example to the case-study repository, so this appendix does not carry one. In the first edition of this book this section reported an empty scaffold; that report is superseded twice over.","case_study","case_study","CB-034",TRUE
"book/appendices/F-software.qmd","sec-appf-limits","book/appendices/F-software.qmd",122,126,,"simulation","text:companion_simulation","It does not benchmark, compare run times, or recommend one sampler over another. It does not report what any of this software produced when run — that is the companion simulation study's authority, and @sec-ch21 and @sec-ch23 draw the same ","simulation","simulation","CB-019",TRUE
"book/appendices/G-build-report.qmd","sec-appg-claim-checks","book/appendices/G-build-report.qmd",135,146,,"companion_pair","text:companion-volumes","The contract they enforce is narrower than the phrase *every number is checked* would suggest, and stating it precisely matters more than stating it warmly. `r val(""Audited evidence claims"")` claims imported from the companion volumes are e","simulation | case_study","simulation | case_study","CB-118 | CB-119",TRUE
"book/chapters/01-the-estimation-problem.qmd","sec-ch01-reliability","book/chapters/01-the-estimation-problem.qmd",121,129,,"irw_reliability","citation:lee_reliability-distribution_2026","**The corpus view.** Since the manuscript was submitted, the question has acquired a census answer. Applying the same estimators under the same rules to 889 datasets of the Item Response Warehouse — with no author discretion about what to c","irw_reliability","simulation | irw_reliability","CB-002 | CB-073",TRUE
"book/chapters/01-the-estimation-problem.qmd","sec-ch01-reliability","book/chapters/01-the-estimation-problem.qmd",131,135,,"simulation","text:companion_simulation","**The design consequence.** Reliability is not a property of a test. It is a property of a test administered to a population, and it moves with the spread of that population as much as with the instrument (@sec-ch08). This is why it can be ","simulation","simulation | irw_reliability","CB-002 | CB-073",TRUE
"book/chapters/01-the-estimation-problem.qmd","sec-ch01-roadmap","book/chapters/01-the-estimation-problem.qmd",165,171,,"companion_pair","text:companion-volumes","Two parts are new in this edition. Part VIII, **What Changes Under the 2PL**, follows three specific departures from the Rasch apparatus: what discrimination does to information (@sec-ch24), how uneven information separates reliability func","simulation | case_study","simulation | case_study | irw_reliability | irw_shape","CB-074 | CB-075 | CB-076 | CB-077",TRUE
"book/chapters/01-the-estimation-problem.qmd","sec-ch01-roadmap","book/chapters/01-the-estimation-problem.qmd",165,171,,"irw_pair","text:corpus-or-warehouse-studies","Two parts are new in this edition. Part VIII, **What Changes Under the 2PL**, follows three specific departures from the Rasch apparatus: what discrimination does to information (@sec-ch24), how uneven information separates reliability func","irw_reliability | irw_shape","simulation | case_study | irw_reliability | irw_shape","CB-074 | CB-075 | CB-076 | CB-077",TRUE
"book/chapters/01-the-estimation-problem.qmd","sec-ch01-sources","book/chapters/01-the-estimation-problem.qmd",189,200,,"irw_reliability","citation:lee_reliability-distribution_2026;text:warehouse_reliability","The curriculum-based measurement context comes from Conoyer et al. [-@conoyer_meta-analysis_2022] and Nelson et al. [-@nelson_review_2023], and the disaggregated-reliability evidence from Rutkowski and Rutkowski [-@rutkowski_measuring_2013]","irw_reliability","irw_reliability","CB-078",TRUE
"book/chapters/02-notation-and-frameworks.qmd","sec-ch02-notation","book/chapters/02-notation-and-frameworks.qmd",67,72,,"companion_generic","text:companion-volume-or-book","**$P$ for persons, $N$ for the design.** The manuscript uses $N$ for the number of examinees. This book reserves $N$ for the simulation-design sample size that the companion volume varies, and writes $P$ for the index bound, so that a state","simulation OR case_study","simulation","CB-079",TRUE
"book/chapters/02-notation-and-frameworks.qmd","sec-ch02-conventions","book/chapters/02-notation-and-frameworks.qmd",237,239,,"companion_generic","text:companion-volume-or-book","**Cross-references** to the companion volume are spelled out — *DPMirt Simulation Study*, ch. 04 § 3 — rather than given as a bare pointer, so that a printed copy of this book remains usable.","simulation OR case_study","simulation","CB-080",TRUE
"book/chapters/02-notation-and-frameworks.qmd","sec-ch02-conventions","book/chapters/02-notation-and-frameworks.qmd",237,239,,"simulation","text:dpmirt_repository","**Cross-references** to the companion volume are spelled out — *DPMirt Simulation Study*, ch. 04 § 3 — rather than given as a bare pointer, so that a printed copy of this book remains usable.","simulation","simulation","CB-080",TRUE
"book/chapters/04-identification.qmd","sec-ch04-constraints","book/chapters/04-identification.qmd",228,232,,"simulation","text:companion_simulation","A constraint has to be representable in the model as specified. A Dirichlet process prior on $G$ cannot be made to satisfy $\sum_p \theta_p = 0$, because the $\theta_p$ are exchangeable draws and the constraint is a property of the realized","simulation","simulation","CB-003",TRUE
"book/chapters/04-identification.qmd","sec-ch04-forward","book/chapters/04-identification.qmd",289,298,,"simulation","text:companion_simulation","One caveat belongs here rather than there, because it qualifies this book's whole scope. Under TD-3 this book carries the 2PL, and the companion simulation fits Dirichlet process mixtures under both models. **The identification of the semip","simulation","simulation","CB-004",TRUE
"book/chapters/08-reliability.qmd","sec-ch08","book/chapters/08-reliability.qmd",9,13,,"companion_generic","text:companion-volume-or-book","@sec-ch01 asserted that ""reliability below 0.7"" is not interpretable until three further questions are answered: reliability of what, computed how, and a property of what. This chapter answers them. It is the longest chapter in Part III bec","simulation OR case_study","simulation","CB-081",TRUE
"book/chapters/08-reliability.qmd","sec-ch08-zoo","book/chapters/08-reliability.qmd",137,141,,"companion_generic","text:companion-volume-or-book","so @eq-rel-add always returns the larger number. Applying it to ML or WLE scores therefore overstates reliability, and by @eq-overdisp the overstatement is systematic rather than incidental. The exact algebra above is the claim used here; a","simulation OR case_study","simulation","CB-082",TRUE
"book/chapters/08-reliability.qmd","sec-ch08-population","book/chapters/08-reliability.qmd",170,174,,"simulation","text:companion_simulation","This is why the phrase ""the reliability of the instrument"" is a category error, and it is also the licence for everything the companion simulation does. If reliability were a property of a test, varying it as a design factor would be varyin","simulation","simulation","CB-005",TRUE
"book/chapters/08-reliability.qmd","sec-ch08-applied","book/chapters/08-reliability.qmd",413,422,,"irw_reliability","citation:lee_reliability-distribution_2026","Against that, @sec-ch01-reliability gave the ranges actually observed — content-area curriculum-based measures running from $.21$ to $.89$, PISA subscales as low as $.41$ in some subgroups, and achievement batteries reliable at $.83$–$.92$ ","irw_reliability","irw_reliability","CB-083",TRUE
"book/chapters/08-reliability.qmd","sec-ch08-sources","book/chapters/08-reliability.qmd",442,444,,"irw_reliability","citation:lee_reliability-distribution_2026;text:warehouse_reliability","The corpus span and definition-dependent shares quoted in @sec-ch08-applied are the Item Response Warehouse reliability study's [-@lee_reliability-distribution_2026], read from its manuscript and taken up properly in @sec-ch28.","irw_reliability","irw_reliability","CB-084",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09","book/chapters/09-designing-for-reliability.qmd",3,8,,"companion_generic","text:companion-volume-or-book","@sec-ch08 said what reliability is. This chapter asks the question a simulation designer actually faces, which runs the other way: *given a target, what design achieves it?* The chapter is short and stops deliberately short of the companion","simulation OR case_study","simulation","CB-085",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-levers","book/chapters/09-designing-for-reliability.qmd",71,83,,"simulation","citation:lee_simulation_2026;text:companion_simulation","**Discrimination scale.** Under the 2PL, replacing $\lambda_i$ by $c\lambda_i$ changes both the multiplier and the response probability: $\mathcal{J}_c(\theta)=\sum_i c^2\lambda_i^2\pi_{i,c}(\theta) [1-\pi_{i,c}(\theta)]$. Only the item pea","simulation","simulation","CB-021",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-levers","book/chapters/09-designing-for-reliability.qmd",103,108,,"companion_generic","text:companion-volume-or-book","The ordering follows from @thm-jensen-sandwich in one step — if $\tilde\rho$ reaches the target at $c^*_{\tilde\rho}$ then $\bar w$ is still below it there, so $\bar w$ needs at least as much scale — and the caveat is the interesting half. ","simulation OR case_study","simulation","CB-021",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-table2","book/chapters/09-designing-for-reliability.qmd",140,149,,"simulation","text:simulation_book|companion_simulation","**The counts sit above this idealized calculation.** The curves in @fig-rel-items are the *population* forward map @eq-forward with item parameters known. Against the matching $\operatorname{SD}(\beta) = 1$ curve, the manuscript's counts ar","simulation","simulation","CB-011",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-difficulty","book/chapters/09-designing-for-reliability.qmd",193,198,,"companion_generic","text:companion-volume-or-book","Zhang et al. also propose a method for generating realistic difficulties: resample an empirical dataset, then treat each estimated difficulty as the mean of a normal with standard deviation equal to its own standard error, producing a mixtu","simulation OR case_study","simulation","CB-086",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-boundary","book/chapters/09-designing-for-reliability.qmd",220,224,,"companion_generic","text:companion-volume-or-book","What this chapter has supplied is what the companion book cannot assume: that the inverse problem is well posed but not closed-form, that its obstruction lies in the information function and not in the definition of reliability, that four l","simulation OR case_study","simulation","CB-006",TRUE
"book/chapters/09-designing-for-reliability.qmd","sec-ch09-sources","book/chapters/09-designing-for-reliability.qmd",233,240,,"simulation","citation:lee_simulation_2026;text:companion_simulation","@prp-cstar is Corollary 1 of the reliability-targeting package's theory vignette [@lee_irtsimrel_2026], restated with its monotonicity caveat intact; the caveat is the package's own wording and is preserved because dropping it would make th","simulation","simulation","CB-039",TRUE
