"Dimension","Lee et al. (2025)","This work"
"Unit","Site in a multisite trial; $J = 25, 50, 75, 100, 300$ simulated, $J = 38$ in the application","Person taking a test"
"Parameter","Site average treatment effect $\tau_j$","Latent trait $\theta_p$"
"Level-1 data the model consumes","Two summary statistics per site, $\hat\tau_j$ and $\widehat{se}^2_j$, from site $j$'s own sample","The full vector of **binary item responses**"
"Within-unit error","Gaussian plug-in first stage: $\widehat{se}^2_j$ is estimated, then treated as **known**, $\hat\tau_j \mid \tau_j \sim N(\tau_j, \widehat{se}^2_j)$","No known error variance exists; precision is the Fisher information $\mathcal{J}(\theta_p)$"
"Error variance and the parameter","Assumed unrelated; zero correlation between $\tau_j$ and $\widehat{se}^2_j$ is named as a key limitation","**A function of the parameter by construction**, so shrinkage is heteroscedastic"
"Nuisance parameters estimated jointly","None; the standard errors are plugged in","Item parameters $\boldsymbol\beta$, and under the 2PL the discriminations too"
"Scale of the parameter","The outcome's own scale (effect size, or log odds ratio converted to Cohen's $d$)","Identified only up to a location constraint; under the 2PL, location and scale"
"Reliability","Informativeness $I = \sigma^2/(\sigma^2 + \text{geometric mean of } \widehat{se}^2_j)$; set by the average site size and by $\sigma$, and prospective design advice is given","$\bar w$; set by test length, which is the instrument the test developer controls"
"Reliability actually reached","$I \in [.01, .71]$, mean $.25$; the application sits at $I = .04$ and $.06$","Varied prospectively through test length; not numerically comparable with $I$ without an explicit design mapping"
"Inferential goals","Three: individual effects, ranks, and the EDF","The same three, plus **classification against a cut score**"
"Prior arms compared","Gaussian; DP-diffuse; DP-inform","Gaussian; DP with a broad $\alpha$ prior; DP with a $K$-matched $\alpha$ prior"
"Summary methods compared","PM; CB; GR","PM; CB; GR"
